Designator,Component,Number,Cost per unit (EUR),Total cost (EUR),Source of materials,Material,Note,URL
Hardware Controller,Hardware Controller PCB,1,3.80,3.80,JLCPCB,FR4,,https://cart.jlcpcb.com/quote
,"Arduino Nano, rev3 (A000005) - development board",1,19.18,19.18,RS Components,,,https://at.rs-online.com/web/p/arduino/6961667
,"Single-row female header, 36-pin, 2.54mm pitch",2,1.10,2.20,RS Components,,,https://at.rs-online.com/web/p/leiterplatten-header/2518632/
,"CL13845G - 3.5mm jack, mono, female, w/nut",5,2.61,13.04,RS Components,,,https://at.rs-online.com/web/p/klinken-steckerbuchsen/1438938/
,"3.5mm jack, mono, male",5,2.77,13.85,RS Components,,,https://at.rs-online.com/web/p/klinken-steckerbuchsen/5051312/
,"5.5x2.1mm DC barrel jack, panel mount",1,1.16,1.16,Conrad,,,https://www.conrad.at/de/p/bkl-electronic-072335-niedervolt-steckverbinder-buchse-einbau-vertikal-5-5-mm-2-1-mm-1-st-733946.html
,"12V DC power supply, 5A (60W)",1,29.99,29.99,Conrad,,,https://www.conrad.at/de/p/dehner-elektronik-ats-060t-w120e-steckernetzteil-festspannung-12-v-dc-5-a-60-w-stabilisiert-2110544.html
,"FQP30N06L - N-channel MOSFET, TO220 package",5,0.82,4.10,RS Components,,,https://at.rs-online.com/web/p/mosfet/8075863/
,"1N4004 - rectifier diode, axial package",5,0.14,0.70,RS Components,,,https://at.rs-online.com/web/p/gleichrichterdioden-und-schottky-dioden/6289029/
,"10kOhm resistor,  1/4W, axial package",5,0.13,0.65,RS Components,,,https://at.rs-online.com/web/p/widerstande-durchsteckmontage/7077745/
,"100uF electrolytic capacitor, 35V, 2.5mm leg pitch, radial package",1,0.08,0.08,Conrad,,,https://www.conrad.at/de/p/teapo-sy-100uf-35v-6-3x11mm-elektrolyt-kondensator-radial-bedrahtet-2-5-mm-100-f-35-v-20-x-l-6-3-mm-x-11-mm-1-st-443974.html
,"Screw, M3x8mm, DIN912",10,3.49,3.49,Conrad,Stainless steel,Pack of 100,https://www.conrad.at/de/p/toolcraft-1062106-zylinderschrauben-m3-8-mm-innensechskant-din-912-edelstahl-a4-100-st-1062106.html
,,,,,,,,
Fluidics,"Bio-Chem Valve 100P Pinch Valve, 12V, 3-way, 1/8""; 100PD3MP12-02B",1,160.71,160.71,msscientific Chromatographie-Handel GmbH,,,https://www.bio-chemvalve.de/pinch_valves.htm
,Spring steel mounting clip for 100P pinch valves; MC-100,1,2.91,2.52,msscientific Chromatographie-Handel GmbH,,,https://www.bio-chemvalve.de/mounting_options.htm
,"Ismatec Reglo ICC, 4 independent-channel, 8-roller peristaltic pump**",2,2234.83,4469.66,Cole-Parmer,,Open source alternatives are available,https://www.coleparmer.com/i/ismatec-reglo-icc-digital-peristaltic-pump-4-channel-8-roller-100-to-240-vac/7800180
,"12V mini peristaltic pump, 3mm tubing",4,15.89,63.56,Amazon (DE),,One per plate,https://www.amazon.de/-/en/Peristaltic-Pump-Laboratory-Bioengineering-Biochemical/dp/B087NSVDFY
,USB-A to USB-Mini-B cable,3,1.84,5.52,Amazon (DE),,,https://www.amazon.de/PremiumCord-Kabel-USB-B-Mini-5pins/dp/B07NSMMVB2
,"PharMed BPT Tubing, 1.52mm ID, 3.22mm OD - 100ft",1,176.72,176.72,Cole-Parmer,Ismaprene,,https://www.coleparmer.com/i/ismatec-pump-tubing-pharmed-bpt-1-52-mm-id-100-ft/9580936
,"ParMed BPT 3-stop tubing, 1.52mm ID (yellow/blue) - 12/pk",1,98.56,98.56,Cole-Parmer,Ismaprene,,https://www.coleparmer.com/i/ismatec-pump-tubing-3-stop-pharmed-bpt-1-52-mm-id-12-pk/9571436
,"Various 1/16"" fittings",,,,Cole-Parmer,PTFE or PVDF,,
,,,,,,,,
Perfusion Plates,"Screw, M2.5x8mm, DIN912",1,4.58,4.58,Conrad,Stainless steel,Pack of 100,https://www.conrad.at/de/p/toolcraft-1061808-zylinderschrauben-m2-5-8-mm-innensechskant-din-912-edelstahl-a2-100-st-1061808.html
,"Hex nut, M2.5, DIN934",1,3.58,3.58,Conrad,Stainless steel,Pack of 100,https://www.conrad.at/de/p/toolcraft-to-5371779-sechskantmuttern-m2-5-iso-4035-edelstahl-a2-100-st-1790593.html
,"Nunc OmniTray, one-well treated plates w/lids - 60/case",1,350,350,ThermoFischer Scientific,PS,Case of 60,https://www.thermofisher.com/order/catalog/product/165218
,"P200 pipette tips, non-filtered",4,,,,,,
,"PCB milling bit, 2.2 mm",1,9.31,9.31,Amazon (DE),,,https://www.amazon.de/-/en/Nicerio-10-Pieces-Circuit-Carbide-Engraving/dp/B07F7NLP6K
